rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2016-02-29,"현대차, 한국전력, SK텔레콤, SK, 키움증권, 현대로템",-,-,-,"SK텔레콤(017670) 54.7%, 0d; 한국전력(015760) 24.0%, 0d; 현대로템(064350) 15.4%, 0d; 현대차(005380) 3.0%, 0d; SK(034730) 2.9%, 0d"
2016-03-31,포스코DX,SK텔레콤,"현대차, 한국전력, SK, 키움증권, 현대로템",꺾임신호:1,"포스코DX(022100) 50.0%, 0d; 한국전력(015760) 25.4%, 31d; 현대로템(064350) 18.7%, 31d; 현대차(005380) 3.2%, 31d; SK(034730) 2.7%, 31d"
2016-04-29,한화오션,키움증권,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1,"포스코DX(022100) 53.3%, 29d; 한국전력(015760) 23.8%, 60d; 현대로템(064350) 17.7%, 60d; 현대차(005380) 2.7%, 60d; SK(034730) 2.5%, 60d"
2016-05-31,현대차우,한화오션,"현대차, 한국전력, 포스코DX, SK, 현대로템",교체(+15% 우위):1,"포스코DX(022100) 54.6%, 61d; 한국전력(015760) 23.6%, 92d; 현대로템(064350) 16.8%, 92d; 현대차(005380) 2.6%, 92d; SK(034730) 2.5%, 92d"
2016-06-30,삼천당제약,현대차우,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1,"포스코DX(022100) 56.3%, 91d; 한국전력(015760) 22.3%, 122d; 현대로템(064350) 16.8%, 122d; 현대차(005380) 2.5%, 122d; SK(034730) 2.1%, 122d"
2016-07-29,키움증권,삼천당제약,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1,"포스코DX(022100) 53.5%, 120d; 한국전력(015760) 22.2%, 151d; 현대로템(064350) 19.8%, 151d; 현대차(005380) 2.4%, 151d; SK(034730) 2.2%, 151d"
2016-08-31,POSCO홀딩스,현대차,"한국전력, 포스코DX, SK, 키움증권, 현대로템",꺾임신호:1,"포스코DX(022100) 52.3%, 153d; 현대로템(064350) 22.2%, 184d; 한국전력(015760) 21.0%, 184d; POSCO홀딩스(005490) 2.4%, 0d; SK(034730) 2.2%, 184d"
2016-09-30,삼성중공업,키움증권,"POSCO홀딩스, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1,"포스코DX(022100) 53.6%, 183d; 한국전력(015760) 21.0%, 214d; 현대로템(064350) 20.5%, 214d; POSCO홀딩스(005490) 2.5%, 30d; SK(034730) 2.4%, 214d"
2016-10-31,"현대모비스, 신한지주, 고영","삼성중공업, 한국전력, 현대로템","POSCO홀딩스, 포스코DX, SK","트레일링스탑:2, 꺾임신호:1","포스코DX(022100) 55.7%, 214d; 고영(098460) 24.5%, 0d; 현대모비스(012330) 14.5%, 0d; POSCO홀딩스(005490) 2.7%, 61d; SK(034730) 2.6%, 245d"
2016-11-30,삼성전자우,포스코DX,"POSCO홀딩스, 현대모비스, SK, 신한지주, 고영",꺾임신호:1,"삼성전자우(005935) 55.7%, 0d; 고영(098460) 24.5%, 30d; 현대모비스(012330) 13.9%, 30d; POSCO홀딩스(005490) 3.0%, 91d; SK(034730) 2.8%, 275d"
2016-12-29,펩트론,POSCO홀딩스,"삼성전자우, 현대모비스, SK, 신한지주, 고영",꺾임신호:1,"삼성전자우(005935) 55.8%, 29d; 고영(098460) 24.7%, 59d; 현대모비스(012330) 13.9%, 59d; 펩트론(087010) 2.9%, 0d; SK(034730) 2.7%, 304d"
2017-01-31,LS ELECTRIC,펩트론,"삼성전자우, 현대모비스, SK, 신한지주, 고영",꺾임신호:1,"삼성전자우(005935) 59.2%, 62d; 고영(098460) 23.2%, 92d; 현대모비스(012330) 12.3%, 92d; LS ELECTRIC(010120) 2.9%, 0d; SK(034730) 2.4%, 337d"
2017-02-28,HD한국조선해양,신한지주,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",꺾임신호:1,"삼성전자우(005935) 55.5%, 90d; 고영(098460) 26.3%, 120d; 현대모비스(012330) 12.8%, 120d; LS ELECTRIC(010120) 2.9%, 28d; SK(034730) 2.4%, 365d"
2017-03-31,펩트론,HD한국조선해양,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",꺾임신호:1,"삼성전자우(005935) 57.1%, 121d; 고영(098460) 25.7%, 151d; 현대모비스(012330) 11.6%, 151d; LS ELECTRIC(010120) 3.1%, 59d; SK(034730) 2.6%, 396d"
2017-04-28,한미약품,펩트론,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",교체(+15% 우위):1,"삼성전자우(005935) 59.0%, 149d; 고영(098460) 25.4%, 179d; 현대모비스(012330) 10.1%, 179d; LS ELECTRIC(010120) 3.1%, 87d; SK(034730) 2.4%, 424d"
2017-05-31,리가켐바이오,삼성전자우,"LS ELECTRIC, 현대모비스, SK, 고영, 한미약품",꺾임신호:1,"리가켐바이오(141080) 56.0%, 0d; 고영(098460) 26.2%, 212d; 현대모비스(012330) 12.0%, 212d; LS ELECTRIC(010120) 3.2%, 120d; SK(034730) 2.6%, 457d"
