trade_id,buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,return_pct,holding_days,buy_reason,sell_reason,sell_reason_detail,return_pct_fmt
1,2016-02-29,2016-03-31,017670,SK텔레콤,40287.0,35974.0,-10.705686697942262,31,슈퍼사이클 지속,꺾임신호,"score_gap=1.0130, challenger=022100",-10.71%
2,2016-02-29,2016-04-29,039490,키움증권,59700.0,67900.0,13.735343383584597,60,슈퍼사이클 지속,꺾임신호,"score_gap=1.1033, challenger=042660",13.74%
3,2016-04-29,2016-05-31,042660,한화오션,24520.0,21721.0,-11.415171288743887,32,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.5780, challenger=005385",-11.42%
4,2016-05-31,2016-06-30,005385,현대차우,99100.0,94500.0,-4.64177598385469,30,슈퍼사이클 지속,꺾임신호,"score_gap=1.1969, challenger=000250",-4.64%
5,2016-06-30,2016-07-29,000250,삼천당제약,10550.0,9850.0,-6.635071090047395,29,슈퍼사이클 지속,꺾임신호,"score_gap=1.0072, challenger=039490",-6.64%
6,2016-02-29,2016-08-31,005380,현대차,147500.0,133000.0,-9.830508474576272,184,턴어라운드 진입,꺾임신호,"score_gap=0.9629, challenger=005490",-9.83%
7,2016-07-29,2016-09-30,039490,키움증권,79100.0,71600.0,-9.481668773704177,63,슈퍼사이클 지속,꺾임신호,"score_gap=1.1060, challenger=010140",-9.48%
8,2016-02-29,2016-10-31,015760,한국전력,58700.0,49250.0,-16.098807495741053,245,슈퍼사이클 지속,트레일링스탑,peak 대비 -21.70% 하락,-16.10%
9,2016-02-29,2016-10-31,064350,현대로템,14750.0,18700.0,26.779661016949152,245,슈퍼사이클 지속,트레일링스탑,peak 대비 -21.92% 하락,26.78%
10,2016-09-30,2016-10-31,010140,삼성중공업,7805.0,8122.0,4.06149903907751,31,슈퍼사이클 지속,꺾임신호,"score_gap=0.8015, challenger=098460",4.06%
11,2016-03-31,2016-11-30,022100,포스코DX,4920.0,5460.0,10.97560975609757,244,슈퍼사이클 지속,꺾임신호,"score_gap=1.0540, challenger=005935",10.98%
12,2016-08-31,2016-12-29,005490,POSCO홀딩스,231000.0,257500.0,11.471861471861477,120,슈퍼사이클 지속,꺾임신호,"score_gap=1.1724, challenger=087010",11.47%
13,2016-12-29,2017-01-31,087010,펩트론,18039.0,18614.0,3.1875381118687374,33,슈퍼사이클 지속,꺾임신호,"score_gap=1.1701, challenger=010120",3.19%
14,2016-10-31,2017-02-28,055550,신한지주,43850.0,46700.0,6.4994298745724155,120,슈퍼사이클 지속,꺾임신호,"score_gap=1.0488, challenger=009540",6.50%
15,2017-02-28,2017-03-31,009540,HD한국조선해양,149434.0,149889.0,0.30448224634287424,31,슈퍼사이클 지속,꺾임신호,"score_gap=1.2786, challenger=087010",0.30%
16,2017-03-31,2017-04-28,087010,펩트론,19583.0,20043.0,2.3489761527855757,28,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.7907, challenger=128940",2.35%
17,2016-11-30,2017-05-31,005935,삼성전자우,27120.0,34980.0,28.982300884955748,182,슈퍼사이클 지속,꺾임신호,"score_gap=1.0552, challenger=141080",28.98%
18,2016-02-29,2017-06-30,034730,SK,248000.0,278000.0,12.096774193548377,487,슈퍼사이클 지속,꺾임신호,"score_gap=1.0707, challenger=083650",12.10%
