rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot,soft_stage,cooldown_guard,monthly_replacement_cap
2016-01-31,"KB금융(105560), 삼성전자(005930), LG화학(051910), 셀트리온(068270)",-,-,hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"KB금융(105560) 21.2%, 0d; 삼성전자(005930) 27.0%, 0d; LG화학(051910) 35.9%, 0d; 셀트리온(068270) 15.9%, 0d",N,N,20%
2016-02-29,삼성바이오로직스(207940),-,"LG화학(051910), KB금융(105560), 셀트리온(068270), 삼성전자(005930)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"LG화학(051910) 61.6%, 30d; KB금융(105560) 7.1%, 30d; 셀트리온(068270) 27.2%, 30d; 삼성전자(005930) 3.4%, 30d; 삼성바이오로직스(207940) 0.7%, 0d",N,N,20%
2016-03-31,-,삼성전자(005930),"셀트리온(068270), 삼성바이오로직스(207940), LG화학(051910), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 2.7%, 60d; 삼성바이오로직스(207940) 22.6%, 30d; LG화학(051910) 19.1%, 60d; KB금융(105560) 55.6%, 60d",Y,N,20%
2016-04-30,"SK하이닉스(000660), 삼성전자(005930)",-,"LG화학(051910), 삼성바이오로직스(207940), 셀트리온(068270), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"LG화학(051910) 4.5%, 90d; 삼성바이오로직스(207940) 31.1%, 60d; 셀트리온(068270) 11.0%, 90d; KB금융(105560) 37.3%, 90d; SK하이닉스(000660) 0.0%, 0d; 삼성전자(005930) 16.1%, 0d",N,N,20%
2016-05-31,-,삼성바이오로직스(207940),"삼성전자(005930), 셀트리온(068270), LG화학(051910), SK하이닉스(000660), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 2.4%, 30d; 셀트리온(068270) 1.7%, 120d; LG화학(051910) 19.5%, 120d; SK하이닉스(000660) 1.9%, 30d; KB금융(105560) 74.5%, 120d",Y,N,20%
2016-06-30,SK텔레콤(017670),LG화학(051910),"삼성전자(005930), 셀트리온(068270), SK하이닉스(000660), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 22.2%, 60d; 셀트리온(068270) 18.5%, 150d; SK하이닉스(000660) 0.8%, 60d; KB금융(105560) 14.3%, 150d; SK텔레콤(017670) 44.2%, 0d",Y,N,20%
2016-07-31,현대모비스(012330),-,"삼성전자(005930), 셀트리온(068270), SK하이닉스(000660), KB금융(105560), SK텔레콤(017670)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 0.5%, 90d; 셀트리온(068270) 9.7%, 180d; SK하이닉스(000660) 11.3%, 90d; KB금융(105560) 42.4%, 180d; SK텔레콤(017670) 27.0%, 30d; 현대모비스(012330) 9.1%, 0d",N,N,20%
2016-08-31,-,KB금융(105560),"삼성전자(005930), 셀트리온(068270), SK하이닉스(000660), SK텔레콤(017670), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 34.2%, 120d; 셀트리온(068270) 8.3%, 210d; SK하이닉스(000660) 6.1%, 120d; SK텔레콤(017670) 21.4%, 60d; 현대모비스(012330) 30.0%, 30d",Y,N,20%
2016-09-30,-,SK텔레콤(017670),"삼성전자(005930), 셀트리온(068270), SK하이닉스(000660), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 39.6%, 150d; 셀트리온(068270) 11.8%, 240d; SK하이닉스(000660) 9.3%, 150d; 현대모비스(012330) 39.3%, 60d",Y,N,20%
2016-10-31,KB금융(105560),-,"SK하이닉스(000660), 삼성전자(005930), 현대모비스(012330), 셀트리온(068270)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"SK하이닉스(000660) 1.6%, 180d; 삼성전자(005930) 4.0%, 180d; 현대모비스(012330) 19.9%, 90d; 셀트리온(068270) 56.2%, 270d; KB금융(105560) 18.3%, 0d",N,N,20%
