rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis
2016-02-29,"현대차, 한국전력, SK텔레콤, SK, 키움증권, 현대로템",-,-,-
2016-03-31,포스코DX,SK텔레콤,"현대차, 한국전력, SK, 키움증권, 현대로템",꺾임신호:1
2016-04-29,한화오션,키움증권,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1
2016-05-31,현대차우,한화오션,"현대차, 한국전력, 포스코DX, SK, 현대로템",교체(+15% 우위):1
2016-06-30,삼천당제약,현대차우,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1
2016-07-29,키움증권,삼천당제약,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1
2016-08-31,POSCO홀딩스,현대차,"한국전력, 포스코DX, SK, 키움증권, 현대로템",꺾임신호:1
2016-09-30,삼성중공업,키움증권,"POSCO홀딩스, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1
2016-10-31,"현대모비스, 신한지주, 고영","삼성중공업, 한국전력, 현대로템","POSCO홀딩스, 포스코DX, SK","트레일링스탑:2, 꺾임신호:1"
2016-11-30,삼성전자우,포스코DX,"POSCO홀딩스, 현대모비스, SK, 신한지주, 고영",꺾임신호:1
2016-12-29,펩트론,POSCO홀딩스,"삼성전자우, 현대모비스, SK, 신한지주, 고영",꺾임신호:1
2017-01-31,LS ELECTRIC,펩트론,"삼성전자우, 현대모비스, SK, 신한지주, 고영",꺾임신호:1
2017-02-28,HD한국조선해양,신한지주,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",꺾임신호:1
2017-03-31,펩트론,HD한국조선해양,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",꺾임신호:1
2017-04-28,한미약품,펩트론,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",교체(+15% 우위):1
2017-05-31,리가켐바이오,삼성전자우,"LS ELECTRIC, 현대모비스, SK, 고영, 한미약품",꺾임신호:1
2017-06-30,비에이치아이,SK,"LS ELECTRIC, 현대모비스, 고영, 한미약품, 리가켐바이오",꺾임신호:1
2017-07-31,"카카오, HL만도","비에이치아이, 한미약품","LS ELECTRIC, 현대모비스, 고영, 리가켐바이오","트레일링스탑:1, 꺾임신호:1"
2017-08-31,한미반도체,고영,"LS ELECTRIC, 현대모비스, 카카오, 리가켐바이오, HL만도",꺾임신호:1
2017-09-29,한미약품,리가켐바이오,"LS ELECTRIC, 현대모비스, 카카오, 한미반도체, HL만도",꺾임신호:1
2017-10-31,현대로템,카카오,"LS ELECTRIC, 현대모비스, 한미반도체, 한미약품, HL만도",꺾임신호:1
2017-11-30,현대차,한미반도체,"LS ELECTRIC, 현대모비스, 현대로템, 한미약품, HL만도",꺾임신호:1
2017-12-28,LIG넥스원,현대로템,"현대차, LS ELECTRIC, 현대모비스, 한미약품, HL만도",꺾임신호:1
2018-01-31,삼성물산,HL만도,"현대차, LS ELECTRIC, 현대모비스, LIG넥스원, 한미약품",꺾임신호:1
2018-02-28,"기아, 셀트리온","LIG넥스원, 한미약품","현대차, LS ELECTRIC, 현대모비스, 삼성물산","트레일링스탑:1, 꺾임신호:1"
2018-03-30,현대약품,현대차,"기아, LS ELECTRIC, 현대모비스, 삼성물산, 셀트리온",꺾임신호:1
2018-04-30,"비에이치아이, HD현대일렉트릭","현대약품, 셀트리온","기아, LS ELECTRIC, 현대모비스, 삼성물산","트레일링스탑:1, 꺾임신호:1"
2018-05-31,"한화에어로스페이스, 한화엔진","현대모비스, 비에이치아이","기아, LS ELECTRIC, 삼성물산, HD현대일렉트릭","트레일링스탑:1, 꺾임신호:1"
2018-06-29,"NAVER, 카카오, 휴림로봇","한화에어로스페이스, 삼성물산, HD현대일렉트릭","기아, LS ELECTRIC, 한화엔진","트레일링스탑:2, 꺾임신호:1"
2018-07-31,"한미반도체, HD현대일렉트릭","한화엔진, 휴림로봇","기아, LS ELECTRIC, NAVER, 카카오","트레일링스탑:1, 꺾임신호:1"
2018-08-31,삼성바이오로직스,NAVER,"기아, LS ELECTRIC, 카카오, 한미반도체, HD현대일렉트릭",꺾임신호:1
2018-09-28,이수페타시스,한미반도체,"기아, LS ELECTRIC, 카카오, 삼성바이오로직스, HD현대일렉트릭",꺾임신호:1
2018-10-31,"대한항공, 삼성전자우, 동양고속, HL만도","LS ELECTRIC, 카카오, 삼성바이오로직스, HD현대일렉트릭","기아, 이수페타시스",트레일링스탑:4
2018-11-30,삼천당제약,삼성전자우,"기아, 대한항공, 이수페타시스, 동양고속, HL만도",꺾임신호:1
2018-12-28,LIG넥스원,동양고속,"삼천당제약, 기아, 대한항공, 이수페타시스, HL만도",꺾임신호:1
2019-01-31,삼성중공업,LIG넥스원,"삼천당제약, 기아, 대한항공, 이수페타시스, HL만도",꺾임신호:1
2019-02-28,에이비엘바이오,이수페타시스,"삼천당제약, 기아, 대한항공, 삼성중공업, HL만도",꺾임신호:1
2019-03-29,현대건설,HL만도,"삼천당제약, 기아, 대한항공, 삼성중공업, 에이비엘바이오",꺾임신호:1
2019-04-30,쎄트렉아이,대한항공,"삼천당제약, 기아, 현대건설, 삼성중공업, 에이비엘바이오",꺾임신호:1
2019-05-31,"HD한국조선해양, 에코프로비엠","삼천당제약, 기아","현대건설, 삼성중공업, 쎄트렉아이, 에이비엘바이오","트레일링스탑:1, 꺾임신호:1"
2019-06-28,"한화에어로스페이스, 다날","HD한국조선해양, 에이비엘바이오","현대건설, 삼성중공업, 쎄트렉아이, 에코프로비엠","트레일링스탑:1, 꺾임신호:1"
2019-07-31,"두산, 삼성SDI, 한국항공우주","현대건설, 삼성중공업, 다날","한화에어로스페이스, 쎄트렉아이, 에코프로비엠","트레일링스탑:2, 꺾임신호:1"
2019-08-30,삼성중공업,한국항공우주,"두산, 삼성SDI, 한화에어로스페이스, 쎄트렉아이, 에코프로비엠",교체(+15% 우위):1
2019-09-30,HLB,에코프로비엠,"두산, 삼성SDI, 삼성중공업, 한화에어로스페이스, 쎄트렉아이",꺾임신호:1
2019-10-31,NAVER,두산,"삼성SDI, 삼성중공업, 한화에어로스페이스, HLB, 쎄트렉아이",꺾임신호:1
2019-11-29,"한국전력, 고영","삼성SDI, HLB","삼성중공업, 한화에어로스페이스, NAVER, 쎄트렉아이","트레일링스탑:1, 꺾임신호:1"
2019-12-30,올릭스,한국전력,"삼성중공업, 한화에어로스페이스, NAVER, 고영, 쎄트렉아이",꺾임신호:1
2020-01-31,"LG이노텍, 삼성바이오로직스","한화에어로스페이스, 고영","삼성중공업, NAVER, 쎄트렉아이, 올릭스","트레일링스탑:1, 꺾임신호:1"
2020-02-28,"카카오, 리노공업, 우리금융지주","삼성중공업, 삼성바이오로직스, 올릭스","LG이노텍, NAVER, 쎄트렉아이","트레일링스탑:2, 꺾임신호:1"
2020-03-31,"현대로템, 셀트리온, 펩트론","LG이노텍, 쎄트렉아이, 우리금융지주","NAVER, 카카오, 리노공업",트레일링스탑:3
